# Pathway	SGP033296	SGP033297	SGP033298	SGP033299	SGP033300	SGP033301	SGP033302	SGP033303	SGP033304	SGP033305	SGP033306	SGP033307	SGP033308	SGP033309	SGP033310	SGP033311	SGP033312	SGP033313	SGP033314	SGP033315	SGP033316	SGP033317	SGP033318	SGP033319	SGP033320	SGP033321	SGP033322	SGP033323	SGP033324	SGP033325	SGP033326	SGP033327	SGP033328	SGP033329	SGP033330	SGP033331	SGP033332	SGP033333	SGP033334	SGP033335	SGP033336	SGP033337	SGP033338	SGP033339	SGP033340	SGP033341	SGP033342	SGP033343	SGP033344	SGP033345	SGP033346	SGP033347	SGP033348	SGP033349	SGP033350	SGP033351	SGP033352	SGP033353	SGP033354	SGP033355	SGP033356	SGP033357	SGP033358	SGP033359	SGP033360	SGP033361	SGP039575	SGP039576	SGP039577	SGP039578	SGP039579	SGP039580	SGP039581	SGP039582	SGP039583	SGP039584	SGP039585	SGP039586	SGP039587	SGP039588	SGP039589	SGP039590	SGP039591	SGP039592	SGP039593	SGP039594	SGP039595	SGP039596	SGP039597	SGP039598	SGP039599	SGP039600	SGP039601	SGP039602	SGP039603	SGP039604	SGP039605	SGP039606	SGP039607	SGP039608	SGP039609	SGP039610	SGP039611	SGP039612
PWY-7409: phospholipid remodeling (phosphatidylethanolamine, yeast)	8.48314	0	9.98339	0	3.49485	0	138.064	0	0	0	172.037	55.3324	0	0	98.5332	0	2.15612	0	0	0	0	0	0	4.13033	0	0	4.23087	0	154.9	42.3051	7.64174	7.2087	0	6.59717	0	6.56829	0	0	3.93185	0	10.9971	7.14491	0	58.2891	0	0	4.90055	0	0	23.5052	0	5.30947	0	0	0	69.6484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.78984	0	0	0	0	0	9.97003	0	0	0	0	50.0814	0	7.00762	3.96995	0	0	0	0	0	0	0	0	0	0	5.98892	0	0	0	29.0944	0	0	0	0
PWY-7413: dTDP-6-deoxy-&alpha;-D-allose biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.5494	0	0	5.27812	0	2.78264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7434: terminal O-glycans residues modification (via type 2 precursor disaccharide)	0	3.00466	16.8735	0	1.32342	6.65602	5.32693	3.3223	0	10.3758	14.1137	54.9562	15.9834	0	0	2.76555	1.36729	3.13755	5.39526	3.03842	2.66241	2.68027	3.99306	2.26227	12.5015	3.49948	4.22713	2.26975	10.0438	4.83795	3.0788	14.4021	7.46301	6.58178	9.52791	14.4886	16.1698	17.8452	0	0	3.1103	26.3709	199.496	0	13.0379	0	1.19309	0	56.9348	2.93116	158.65	0	147.983	0	0	0	201.168	151.954	0	0	0	2.91048	0	67.2007	198.847	0	0	12.4443	100.13	21.4706	6.63498	3.04282	90.7393	3.05915	16.2346	9.72146	18.9423	14.9236	19.9138	0	32.0116	0	0	22.7417	7.95428	0	20.5115	0	0	0	28.2339	152.755	20.5682	0	10.9884	43.0069	2.50768	45.602	42.8418	6.05098	24.7483	47.6763	50.4484	25.7848
PWY-7446: sulfoquinovose degradation I	2.92449	0	11.446	0	6.84394	128.83	240.895	3.23899	0	0	0	9.02149	0	1.93847	30.5969	0	0	1.62561	0	4.08549	0	2.94818	3.81921	0	1.73388	134.761	0	0	272.562	99.6888	5.99434	6.07831	0	4.69333	213.61	8.09658	0	6.86035	6.17842	0	0	4.31321	0	1.76147	0	0	0	0	3.97906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.7464	17.8845	0	0	0	20.7103	0	111.296	0	0	0	0	0	0	0	0	10.3047	0	0	0	0	0	0	0	9.76713	0	0	0
PWY-7456: &beta;-(1,4)-mannan degradation	1719	2664.15	3576.21	1485.87	1231.66	1356.2	0	3107.3	2282.11	1785.81	6.01599	2234.26	2144.42	1985.06	0	1996.52	1810.02	1105.34	2530.85	1138.51	1798.39	968.905	1217.94	2057.18	1196.75	1471.02	2430.61	938.972	5.90211	1590.92	3508.94	1042.54	1850.08	3475.89	0	3143.35	1751.09	2219.18	2163.91	2123.25	1937.87	3274.59	1317.33	1371.83	657.999	2432.16	2234.18	1737.98	1552.43	1776.27	1565.97	1901.69	2078.92	1915.32	2649.02	2304.24	2247.96	1855	1898.35	2471.49	2087.55	2344.36	2600.82	1593.51	1788.14	2149.19	1186.07	2188.38	2619.68	916.272	1692.14	1066	2370.37	2008.75	1489.99	345.217	2014.2	2094.16	2902.58	2385.58	2110.23	2594.64	2118.32	0	492.932	1434.31	2185.18	1527.53	633.917	1823.84	1078.89	2103.57	2800.14	1592.64	389.178	2234.89	2375.01	1992.73	1943.32	442.094	1578.97	2639.92	1294.42	1632.83
PWY-7527: L-methionine salvage cycle III	0	0	0	0	0	0	145.874	0	0	0	9.37702	8.34479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.7976	18.1993	0	0	0	0	69.4561	0	0	0	0	0	0	0	0	72.6639	0	0	0	0	0	0	0	0	0	0	0	5.42036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175.263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7528: L-methionine salvage cycle I (bacteria and plants)	0	0	0	0	0	0	157.419	0	0	0	0	23.9229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.3855	12.5214	0	0	0	0	89.3193	0	0	0	0	0	0	0	0	4.75183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7560: methylerythritol phosphate pathway II	6797.96	6611.61	6113.29	4766.97	7447.77	9760.09	2772.38	6457.06	6669.48	7292.58	4345.53	6492.62	5912.52	6713.28	10737.5	6677.92	7658.05	8843.49	6491.91	7545.79	6721.3	10177.4	8037.81	6569.26	7874.24	5875.4	6651.32	10534	3804.75	5923.25	5621.35	10427.8	6424.55	5959.94	4067.25	6532.87	7610.43	8433.47	5388.94	5371.28	5887.23	6182.57	8299.42	5053.25	10934.6	7855.93	5308.07	8178.64	5562.51	8036.7	5426.51	6316.49	5204.39	6923.73	6298.25	7038.43	4916.52	4816.31	6327.61	5847.92	6655.68	5060.35	4776.56	6472.18	4283.86	6170.75	8525.62	5007.93	6651.48	3589.3	9322.37	9369.41	7114.78	5822.99	4163.07	6124.63	5471.18	7311.03	4730.35	5633.25	5761.02	5966.98	5571.35	4045.07	4318.74	9496.47	5665.88	10727.1	7416.55	8520.26	4722.72	6279.28	5919.54	8755.21	4605.06	3841.8	5159.19	5048.5	4388.43	5779.93	4765.89	6771.98	11546.5	4564.87
PWY-7616: methanol oxidation to carbon dioxide	2.44549	0	6.31651	0	3.0833	11.879	86.7848	9.90792	3.77621	0	2.43949	37.7745	0	5.25971	33.8801	0	4.95074	1.88178	0	1.98422	10.1162	4.99714	18.1398	0	0	45.457	6.0119	0	229.161	59.781	7.72219	1.6498	7.10195	2.33383	26.3404	5.46762	0	24.1038	1.68476	3.09517	7.77688	3.48739	1.1773	0	1.33014	1.23016	7.90651	0	17.0043	13.2549	5.42654	3.45653	0	4.08282	0	15.9736	0	0	0	0	0	2.83957	11.6533	0	0	0	0	0	7.29304	16.7556	4.61677	5.64894	0	5.96552	0	0	6.12431	0	0	0	0	0	8.15975	52.4599	79.4111	0	1.07128	0	0	0	0	0	11.6786	0	0	2.31335	0	0	0	8.80536	11.2253	0	0	0
PWY-7663: gondoate biosynthesis (anaerobic)	4686.64	7349.77	5420.13	7798.21	6373.73	6628.49	6025.94	7645.97	8071	6649.13	3731.18	7257.96	5173.85	7029.96	3900.93	7180.08	6100.01	6738.95	6970.64	5606.42	7126.83	6508.33	3664.34	4381.58	6683.45	4099.03	5613.49	6609.23	4960.2	7220.39	6741.8	6194.34	6683.04	6050.61	5590.79	5714.96	2423.41	2730.3	4745.12	4820.37	4373.99	6258.81	6796.82	6666.53	6687.99	5815.52	4677.56	5344.16	6661.41	6547.36	7778.69	4402.58	6510.14	4658.94	4995.61	5681.36	5427.21	6144.1	3830.32	4512.2	4523.89	4708.67	8253.01	7566.5	5247.01	5283.54	6219.62	8007.57	5362.86	7495.14	7195.12	6743.32	6107.72	6639.11	8614.59	9551.9	7959.91	3961.51	5800.48	4922.37	8572.76	5896.45	7561.9	5242.06	3825.84	7855.93	6983.78	7006.93	9222.93	7880.59	8637.51	6270.87	6503.27	7733.99	7806.63	8152.72	5897.26	8183.09	8665.79	9037.87	7981.84	5243.35	6180.64	8378.84
PWY-7664: oleate biosynthesis IV (anaerobic)	1824.78	3159.13	1174.77	2244.97	1528.1	1596.97	5054.81	4850.81	4623.49	4002.77	2467.01	2397.3	840.611	3622.53	2609.06	1867.87	626.193	580.772	2715.37	1074.06	3977.49	464.166	773.888	2511.03	569.586	3151.18	2072.2	224.79	4426.34	3488.58	2364.84	413.502	3774.8	2691.58	4815.54	1565.6	170.109	755.949	1694.82	1557.73	1572.93	2142.88	1441.63	4935.47	184.778	1234.74	1709.76	1757.55	3926.5	4960.1	3062.86	1508.92	1923.96	2520.09	1265.71	2395.35	1970.11	1731.76	321.379	284.561	438.208	1712.8	1465.38	1377.24	1514.91	496.26	1246.96	1149.17	1410.4	2341.89	525.446	563.07	758.291	629.201	1291.23	4242.89	2985	669.829	1708.17	1663.26	2297.43	922.462	1391.19	3690.04	2429.81	539.275	1476.12	338.022	6273.78	791.361	3424.65	1480.04	1331.76	500.295	3741.64	2004.6	663.47	1883.72	1668.06	2098.4	1624.48	444.29	650.225	1784.08
PWY-7688: dTDP-&alpha;-D-ravidosamine and dTDP-4-acetyl-&alpha;-D-ravidosamine biosynthesis	426.019	2.33992	337.289	0	1.52769	0	0	0	0	0	30.7696	307.115	246.035	2.92546	3.23652	188.915	175.61	4.70294	1039.17	0	6.15184	0	127.35	233.969	0	147.02	541.614	0	0	1400.18	133.889	0	1.19684	741.434	0	469.113	10.4988	0	31.5772	47.6359	75.8875	708.749	0	0	0	0	294.143	0	26.6419	0	20.42	90.3944	391.645	1.95829	81.3706	0	207.033	109.515	0	0	7.72076	44.8336	0	571.334	98.4772	28.3787	0	85.8694	765.533	0	0	0	0	0	165.896	33.597	130.755	10.1622	173.89	282.386	493.461	10.7209	58.3351	19.0526	12.883	0	136.706	0	0	0	0	0	0	0	0	168.896	0	490.912	132.438	0	253.303	0	0	186.27
PWY-7723: bacterial bioluminescence	12.3151	0	21.2182	0	6.51118	0	0	0	0	0	100.542	0	0	0	0	0	0	10.3691	0	0	0	0	0	0	0	0	0	0	0	0	0	26.6687	0	0	0	0	0	61.198	0	0	0	15.5861	0	0	0	0	0	0	0	0	0	0	0	0	0	13.6539	0	0	0	0	0	0	9.24626	0	0	0	0	0	0	0	0	0	0	0	0	0	19.8937	0	0	0	0	0	0	33.9115	0	0	14.1832	0	0	0	0	0	0	0	0	0	0	0	0	0	19.2175	0	0	10.7042
PWY-7731: superpathway of photosynthetic hydrogen production	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.26911	0	0	0	0	0	0	0	0	2.71863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.182475	0	0	0	0	0	0	0	0	0	0	0	4.72347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.75458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7973	0	0	0	0	0	0
PWY-7754: bile acid 7&alpha;-dehydroxylation	0	0	0	0	0	0	0	3.72482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.09369	0	0	0	5.48585	8.35599	0	0	0	0	0	5.07735	0	0	0	0	0	0	105.512	0	0	23.9061	0	19.0784	0	0	5.86733	0	0	0	0	0	0	0	0	26.4373	0	12.0868	0	0	0	46.0634	0	0	26.7454	0	0	7.26107	0	0	0	0
PWY-7761: NAD salvage pathway II (PNC IV cycle)	2814.9	1206.4	3159.16	655.636	4096.46	3305.49	1629.35	722.81	2047.09	2311.3	1546.79	1290.26	2802.02	2456.07	1255.2	2082.06	2965.22	4327.58	1817.02	3964.15	2266.47	3631.13	1983.12	1972.92	4025.69	3015.86	2352.12	3708.91	2641.75	2279.97	3418.95	3255.06	2190.44	2798.96	2092.15	3001.3	2063.85	2448.52	2740.73	2850.49	3053.5	3062.71	2224.01	1853.22	3262.03	685.899	3412.46	2203.79	1332.43	1753.27	2333.68	3039.95	1397.02	2571.83	3180.8	2051.77	1818.26	1716.15	3137.29	3066.09	3535.83	2523.64	2362.4	766.659	2161.06	3235.43	3565.37	2549.13	1308.06	1227.88	3083.17	3898.93	1897.4	2229.19	3306.32	469.449	2057.02	3638.5	1644.12	2956.99	1064.84	2395.14	3687.55	2761.21	2478.99	2456.94	2202.42	2097.33	1709.45	2349.87	741.885	2127.79	3321.4	2468	332.839	3590.99	1816.68	2809.9	2982.68	634.249	3416.93	2205.11	2514.38	3259.55
PWY-7783: plasmalogen degradation	0	0	0	0	3.95984	9.82256	0	0	0	0.71466	0	0	0	0	0	0	6.81219	2.46418	0	0	0	0	7.61171	3.83728	0	3.53447	3.12794	0	3.26769	9.31037	7.11156	10.6119	0	11.5071	1.97281	11.6288	1.23112	0	9.82662	0	15.7946	6.01328	0	0	0	4.143	7.36975	0	31.1252	30.6507	0	12.2878	0	8.70602	0	76.2247	0	0	0	0	1.75526	0	17.1025	0	0	0	4.75502	0	0	0	7.51035	0	0	0	0	0	19.4465	30.3029	0	0	0	0	0	36.3671	4.30996	0	0	0	0	0	3.51158	0	7.07758	0	0	0	0	1.63141	0	0	0	0	0	0
PWY-7784: reductive acetyl coenzyme A pathway II (autotrophic methanogens)	0	0	0	0	0	0	0	104.366	0	0	0	0	0	0	0	0	0	0	0	0	14.1587	0	0	0	0	0	0	0	0	0	245.668	0	44.3908	131.335	0	77.3702	0	0	0	0	0	69.461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7790: UMP biosynthesis II	11326.7	10900.5	12595.2	11270.6	12831.3	12880.3	6212.19	10885.6	11642.6	11257	11557.2	10769.4	12519.2	11401.6	12112.5	11042.5	11739.6	13187.7	10874.2	13142.6	11474.1	13608.1	12133.2	12053	12854.9	8849.37	11647.3	13746.2	7807.5	10318.7	11559.5	13611.4	11400.7	11932.2	7130.4	11802.4	12439	12036.4	11805.7	11851.8	11912.4	12330.6	9962.47	5724.97	14714.1	10877.6	11783.3	10657.1	8847.49	11108.1	10356.8	11615.9	11131.9	11934.4	11798.6	10274	11564.7	11652.1	13873.6	13328.1	13673.2	12084.8	10646.6	11081.7	11905.3	13542.7	13509.2	13417.5	11913.1	11071.3	11938.4	13422.6	11570.5	12159.8	14148.6	9959.96	11144.9	14014.2	11832.6	12016	10710.1	12480.1	14287.2	5648.3	7940.11	12597.3	11266	12815.4	7974.34	12485.1	11382.2	11801.5	12722.1	12334.1	11509.1	12830.4	12476.8	12524.6	13327.7	10996.8	13668.4	12004.9	12773.7	12405.6
PWY-7791: UMP biosynthesis III	11326.7	10900.5	12595.2	11270.6	12831.3	12880.3	6212.19	10885.6	11642.6	11257	11557.2	10769.4	12519.2	11401.6	12112.5	11042.5	11739.6	13187.7	10874.2	13142.6	11474.1	13608.1	12133.2	12053	12854.9	8849.37	11647.3	13746.2	7807.5	10318.7	11559.5	13611.4	11400.7	11932.2	7130.4	11802.4	12439	12036.4	11805.7	11851.8	11912.4	12330.6	9962.47	5724.97	14714.1	10877.6	11783.3	10657.1	8847.49	11108.1	10356.8	11615.9	11131.9	11934.4	11798.6	10274	11564.7	11652.1	13873.6	13328.1	13673.2	12084.8	10646.6	11081.7	11905.3	13542.7	13509.2	13417.5	11913.1	11071.3	11938.4	13422.6	11570.5	12159.8	14148.6	9959.96	11144.9	14014.2	11832.6	12016	10710.1	12480.1	14287.2	5648.3	7940.11	12597.3	11266	12815.4	7974.34	12485.1	11382.2	11801.5	12722.1	12334.1	11509.1	12830.4	12476.8	12524.6	13327.7	10996.8	13668.4	12004.9	12773.7	12405.6
PWY-7805: (aminomethyl)phosphonate degradation	13.0121	0	17.7347	0	4.22692	0	271.971	0	0	0	102.458	56.128	0	0	219.678	0	9.68172	0	0	0	0	0	11.2582	0	4.18683	62.5167	6.03406	0	191.087	60.7101	9.46613	5.47998	0	17.5593	79.2035	14.5194	0	0	0	0	10.0281	9.79106	0	46.2583	1.39769	0	4.49087	0	0	26.5048	0	9.39259	0	0	0	69.8714	0	0	0	0	0	0	21.2535	0	0	0	0	0	0	0	0	0	0	0	0	16.5991	63.5394	0	0	0	0	68.15	0	54.6054	75.6256	0	13.3706	0	0	0	0	0	0	0	0	0	0	0	0	0	11.6976	0	0	0
PWY-7807: glyphosate degradation III	20.0479	0	25.3521	0	4.12672	0	273.92	0	0	0	101.603	112.039	0	0	216.373	0	19.1397	0	0	0	0	0	11.6229	11.0979	5.04859	58.196	9.1461	0	196.667	60.8848	10.9544	5.75737	0	19.6851	82.0047	29.9517	0	0	10.0857	0	18.64	13.5921	15.2143	57.3944	1.36825	0	9.44013	0	4.90953	55.7175	0	16.0298	0	0	0	96.9828	0	0	21.0397	24.4385	24.4467	0	32.4572	0	0	26.0876	6.41575	0	0	0	0	0	0	0	0	17.4163	61.7336	17.5551	0	0	0	79.1335	8.82715	49.0385	69.7931	0	15.2354	0	10.3035	0	0	0	0	0	0	0	0	0	0	0	11.3115	0	0	2.64138
PWY-7820: teichuronic acid biosynthesis (B. subtilis 168)	0	57.6245	42.0333	60.2544	18.3185	12.7673	0	44.273	69.3206	37.2914	0	0	0	62.8683	20.1764	0	0	12.1593	28.1358	19.728	67.4391	0	0	0	0	19.3993	0	18.1513	0	60.5289	51.6575	12.5544	51.3823	49.3691	0	45.2587	0	2.60978	0	19.6096	2.8287	51.4536	0	0	19.0737	0	0	0	2.57755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.5261	40.8154	63.1822	0	0	18.9492	44.6184	9.91974	38.1314	30.7756	15.2278	0	0	25.521	0	0	0	0	0	0	0	0	0	0	0	46.3745	0	0	0	28.5329	0	17.4695	28.3173	0	68.6676	58.156	0	49.8497
PWY-7851: coenzyme A biosynthesis II (eukaryotic)	9361.52	8837.41	9609.46	9468.35	8982.28	7596.97	2770.74	8042.53	8488.61	9533.33	5768	8004.87	9437.79	9375.68	3103.36	8446.23	8367.34	9137.84	9039.52	9162.42	9687.14	8807.43	9972.98	9582.14	9096.77	6973.4	9679.97	8573.13	3631.99	7411.7	10283	8280.94	9402.51	9183.09	3389.83	9392.84	9689.74	9877.44	9913.19	9750.76	10083.6	9986.76	8697.49	5342.3	9421.85	9206.5	9456.08	9091.29	7456.5	9794.19	8717.42	9325.08	8803.08	10009.1	9581.69	8249.24	9044.62	8945.83	9186.89	9241.59	8837.99	9982.25	9605.45	8801.05	8910.23	9037.6	9067.79	10075.2	9124.16	9313.28	9103.56	8992.83	9137.16	9968.7	11210.8	8325.95	9123.4	9137.3	8902.24	9358.96	8848.54	9323.58	9445.43	4479.21	5885.76	8873.63	8906.99	8915.31	7194.65	9511.69	9475.34	9385.89	9215.77	9416.29	10045.3	10369.5	10425.1	10166.9	11277.7	9832.04	10903.7	9534.45	7557.98	10885.9
PWY-7853: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis V (Pyrococcus)	0	0	0	0	0	0	0	0	0	0	3.70972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.8535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7858: (5Z)-dodecenoate biosynthesis II	19.6225	4.0984	41.7299	0	29.6593	305.835	2650.31	17.949	0	0	401.208	181.907	0	8.8518	718.251	0	11.4193	0	7.89186	9.62839	0	18.5167	28.1129	21.3745	9.1439	625.254	5.67092	0	1571.86	378.597	44.1336	22.9457	2.41461	29.3566	2134.4	72.0549	2.46047	53.6586	12.8919	6.01777	19.5704	76.5658	18.8994	2325.39	0	49.2988	24.4696	139.475	534.824	128.983	32.254	19.6576	0	239.507	0	289.751	0	9.78336	0	0	0	7.07426	97.823	11.3813	0	0	18.5168	0	51.3022	324.72	0	0	32.4808	18.2359	0	128.016	543.324	36.242	0	0	25.5355	112.162	23.5037	1829.5	945.277	0	42.8929	0	1929.02	0	24.2241	86.478	74.5755	0	26.2746	120.047	0	51.9245	95.2128	68.8723	35.2848	0	121.502	218.843
PWY-7873: D-erythronate degradation II	0	0	0	0	0	0	181.392	0	0	0	44.1926	4.54493	0	0	141.416	0	2.43175	0	0	0.741185	0	0	0	0	0	0	0	0	51.8171	16.0685	0	1.437	0	0	29.4332	0	0	0	0	0	0	0	0	19.9791	0	0	0	0	0	0	0	1.31496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.4676	0	0	0	0	0	8.22323	0	0	0	0	0	4.56392	0	127.267	95.7201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.67637	0	0	0
PWY-7874: L-threonate degradation	0	0	0	0	1.61084	0	183.576	0	0	0	45.3103	20.0895	0	0	151.371	0	2.43175	0	0	2.26058	0	0	3.12862	0	0	92.7383	1.16367	0	66.0884	21.5702	0	2.12494	0.588097	0	34.864	0	0	0	0.89669	0	1.83377	0	0	21.8878	0	0	0	0	0	6.55092	0	3.17854	0	0	0	19.5883	0	0	0	0	0	0	0	0	0	0	0	0	0	26.9275	0	0	0	0	0	22.901	0	0	0	0	0	7.70166	0	291.069	220.475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.9496	3.67637	0	4.06103	0
PWY-7883: anhydromuropeptides recycling II	38.1756	21.3851	11.3539	392.87	246	299.432	1745.22	46.9582	66.9166	15.4439	252.118	201.615	6.48549	8.90746	622.079	647.811	373.905	205.536	10.1616	167.413	8.3796	313.094	262.496	7.03069	248.215	291.759	27.6694	203.752	1029.71	253.594	16.5667	216.416	13.8588	11.7727	1829.18	15.8562	503.761	615.25	89.0677	137.141	197.473	13.8077	517.805	2016.13	299.611	124.734	169.021	210.084	974.969	184.308	1112.59	88.8431	200.395	301.007	101.564	245.111	111.694	107.818	22.0811	20.2488	45.0204	371.349	186.858	174.404	46.7533	20.6048	299.949	22.0808	205.74	182.534	1031.77	214.152	235.596	758.182	33.0979	63.6403	385.501	114.947	113.277	77.7935	418.094	63.7339	21.894	929.393	113.049	745.486	218.574	735.391	1005.43	719.231	25.9253	247.941	400.952	833.394	16.6468	98.1188	726.678	84.2145	113.743	47.9621	36.7363	177.881	882.227	170.956
PWY-7905: Escherichia coli serotype O9a O-antigen biosynthesis	0	0	0	0	0	0	82.4311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7942: 5-oxo-L-proline metabolism	6.79417	0	51.3707	0	46.5259	246.319	2203.3	18.3141	0	2.82101	361.796	167.64	0	7.03242	726.786	0	6.58175	13.5248	0	50.1638	0	5.74258	24.1972	7.19617	8.41316	727.943	10.1551	0	1652.72	487.695	20.9334	72.1327	5.6631	21.2542	1792.11	18.5372	4.51022	49.4728	2.55408	0	16.0137	22.7445	9.06583	1424.91	5.7709	5.54819	27.7067	16.0787	541.043	13.9677	0	40.3658	0	13.434	0	111.911	0	0	0	0	4.03756	7.39362	44.7541	0	0	0	25.0118	0	0	128.242	0	7.97004	0	8.43327	0	119.27	196.787	29.8299	0	6.80957	0	78.2693	0	755.115	1037.68	0	73.0584	0	854.629	6.89953	9.3811	0	22.7346	0	0	0	0	8.14986	0	91.3685	120.254	0	0	0
PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)	11708.5	10238.9	11100.4	10699.3	11775.9	11338.3	3443.61	9351.95	9760.91	10958.8	7842.93	9663.93	11080.8	10818.5	12405.1	10772.2	11288.8	12261.1	10256.7	11664.9	10622.2	12649.2	11390.6	10234.4	12048.9	9026.87	10763.3	12835	6133.48	9250.33	10967.5	12856.2	10683.8	10147.9	5483.35	10545	11649.5	11250.7	10893.5	11062.7	11462.2	11060.7	9908.51	5444.34	13847.6	10033.2	11530.4	9704.17	8042.39	10282.7	9788.94	11230.9	10274.7	10547.6	11191.8	9232.83	10396.4	10795.3	11923.9	11415.5	11816.8	11324.8	10466.7	10238.1	11251	12177.8	12301.4	12306.7	10692.1	10674	11697.8	12342.6	10469.8	11193.7	13874.6	9733.11	11088.1	11718.5	11042.6	10622.3	9893.94	11254.7	12259.8	5946.72	7800.64	12052.4	10294	12091.8	7337.27	11361.1	10384.3	11016.8	10956.8	11526.3	10754.5	12605.1	10556.9	11932.3	12805.1	10466.4	13056.5	11103.8	12418.4	12084.1
PWY-7977: L-methionine biosynthesis IV	8014.52	8835.89	8946.02	9451.99	9984.87	11151.6	5508.66	9277.22	9362.66	8691.31	2541.06	8656.43	7905.64	8189.66	13312	10196.7	9925.84	10826.6	8849.86	9907.3	8557.94	11611.5	6881.55	8560.9	10546.2	6814.88	8695.82	13035	5700.54	8082.13	9703.74	12347.6	8033.96	9090.46	6080.92	8771.17	6623.94	6941.43	8075.68	8098.66	7690.14	9141.29	8716.39	8851.8	13177	8222.9	8287.88	8131.55	7806.18	8876.71	8432.2	7820.84	8292.37	7649.68	8198.48	8088.84	7756.35	8488.3	6920.72	8130.23	8323.53	8003.13	9031.97	9108.7	8169.53	8280.54	11012.7	10186	8484.09	8908.7	11471.3	11243.5	8647.97	9810.6	10325.3	9556.53	9468.32	8583.28	8341.66	8011.82	9351.49	7964.41	9050.44	4783.12	5506.71	11547.5	7775.58	12170.8	8443.63	11506.6	9547.51	8715.91	8942.32	11628.3	10581.1	9064.16	8613.58	9844.47	10767.6	10519	10075.3	7918.19	12307.9	10135.8
PWY-7992: superpathway of menaquinol-8 biosynthesis III	14.7715	215.733	90.0324	0	93.7751	61.1993	392.783	545.558	1320.28	851.53	1653.21	105.037	514.093	515.394	21.6445	1136.35	179.504	217.545	562.937	273.779	406.586	271.547	225.735	169.118	334.569	441.896	167.144	277.55	6.3255	241.986	172.461	103.599	457.766	137.627	0	77.088	0	0	0	0	0	127.041	9.63538	78.5968	173.832	1196.39	7.73284	576.152	0	1250.33	0	0	218.581	550.16	0	139.29	268.969	209.76	116.83	234.816	315.361	0	71.9357	163.775	131.655	289.876	97.5651	62.6378	37.2206	2113.97	131.045	266.699	26.2952	208.007	137.23	0	64.983	181.496	180.95	0	162.302	418.914	895.827	2117.87	1184.63	301.279	232.86	224.395	0	672.071	905.857	53.7152	430.402	331.667	1005.48	58.2489	295.525	31.4222	119.784	0	100.177	29.3165	85.3061	179.316
